base_name	description_taxo	image_path	description_gpt4
chilensis	Forewing with yellow to brown veins and yellowish membrane with variable brown pattern consisting of broad stripe parallel to apical margin stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and patches at bifurcation of veins R and M+Cu, in apical part of cell r2 and along vein Cu1b, sometimes forming stripe in the middle of wing stretching from apical part of cell r1 to vein Cu1b; sometimes with patches in cells c+sc and cu2. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs straight apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules relatively large, dense, present in all cells, leaving no spinule-free stripes along the veins, forming hexagonal pattern; absent at base of cell c+sc; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/chilensis.jpg	The forewing of *chilensis* is broad and oblong oval, with a hyaline membrane and pale brown veins. The forewing is relatively short with a width-to-length ratio of approximately 0.5. It is moderately covered with spinules forming a pattern of two hexagonal rows, with broad spinule-free strips along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma, which is absent. Vein Rs is relatively straight and slightly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the apical third and has a broadly and evenly rounded apical margin. The forewing membrane and veins are without setae.
chorizanthis	Forewing with whitish to pale yellow veins, gradually becoming brown towards apical part, and whitish membrane with indistinct pale brown patch along vein Cu1b, sometimes yellowish in apical part and slightly brownish at apices of veins Rs, M1+2, M3+4 and Cu1a. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very faint, present in all cells, leaving no spinule-free stripes along the veins, densely and irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/chorizanthis.jpg	The forewing of *chorizanthis* is broad and long, with an oblong oval shape and a width-to-length ratio of approximately 1:2.5. It is pale yellow with pale brown veins, moderately covered with randomly distributed spinules. The veins are pale yellow, with no color pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. Spinule-free strips are broad and present along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is a costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is relatively straight and slightly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and short. Vein Cu1a is strongly convex in the apical two-thirds, with its apex strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are not covered with setae.
dimorpha_male	Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern differring in males and females. Male forewing membrane with brown to dark brown pattern consisting of two broad transverse stripes: submarginal one stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin, and median one stretching from median part of vein C+Sc to apical part of claval suture; membrane between two bands colourless with sparse dark brown dots scattered over entire surface and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; male forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced on pigmented areas, weakly developed on unpigmented areas and absent in the middle of the wing.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/dimorpha_male.jpg	The forewing of *dimorpha_male* is characterized by a broad and long ovoid shape with a width-to-length ratio of about 0.5. The forewing is pale brown with brown veins, featuring a pale brown pattern consisting of a large patch along vein Cu1 and scattered dots in the apical half. The membrane is moderately covered with spinules arranged in two hexagonal rows, with narrow spinule-free strips along all veins. The apical margin is broadly and evenly rounded, and the forewing is widest in the middle. The pterostigma is absent, and vein Rs is sinuate, abruptly turning up to the wing margin apically. Vein Cu1a is strongly convex along its entire length, with its apex strongly arced towards the posterior margin. The forewing membrane has dense, short setae, absent in some pale areas, while the veins have dense, short setae.
dimorpha_female	Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern differring in males and females. Female forewing membrane with pale brown pattern consisting of dots occupying all cells, partly confluent in apical part and broad stripe parallel to apical margin stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; female forewing with very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced, less developed on unpigmented areas; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/dimorpha_female.jpg	The forewing of *dimorpha_female* is broad and short with a width-to-length ratio of about 0.55, and it is oblong oval in shape. The forewing is pale brown with brown veins and sometimes indistinct brownish areas along the veins. The membrane is moderately covered with spinules that are randomly distributed, with broad spinule-free strips along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma, which is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex in the apical two-thirds and strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. Both the forewing membrane and veins are covered by short, densely distributed setae.
diosteae	Forewing with yellow veins and colourless membrane with brown pattern, consisting of patch along vein Cu1b and two well-defined oblique stripes: submarginal one stretching from apical part of costal vein to base of vein Cu1a leaving light areas in cells r2, m1 and m2 along the margin, and median one stretching from apical part of cell r1 to median part of anal vein. Forewing oblong-oval, broadly, unevenly rounded apically; veins bearing short microscopical setae; vein C+Sc strongly, unevenly curved, pterostigma short, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules present in all cells, leaving no spinule-free stripes along the veins, densely spaced and forming irregular, indistinct hexagons in apical half, very sparse on unpigmented areas; absent at base of cell c+sc; radular spinules weakly pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/diosteae.jpg	The forewing of *diosteae* is broad and short with an oblong oval shape, featuring a brownish-yellow membrane with brown veins and distinct brown patterns. The forewing is moderately covered with spinules, and broad spinule-free strips are present along cells r2+3 and r4+5, with narrow strips in other cells. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and short. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the middle, and the apical margin is broadly and unevenly rounded. The forewing membrane and veins are covered with short, densely distributed setae.
disparilis	Forewing with brown veins and colourless membrane, fumose in the middle of cells in apical half and with indistinct brown patch along vein Cu1b; sometimes brownish in apical part of cell cu2. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/disparilis.jpg	The forewing of *disparilis* is characterized by a broad and long ovoid shape, with a pale yellow color pattern. The forewing membrane is densely covered with randomly distributed spinules, and broad spinule-free strips are present along all veins. The veins, including Rs, M1+2, M3+4, Cu1a, and Cu1b, are pale yellow without pigmentation at the apices. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma, which is absent. The forewing is widest in the middle and has a broadly and evenly rounded apical margin. The forewing membrane and veins are bare, without setae.
didyma	Forewing with pale yellow veins and colourless to yellowish membrane with indistinct brown patch along vein Cu1b, sometimes with indistinct brownish shadows in apical part of cells r1, r2, m1, m2 and cu1 and at base of cell m2. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/didyma.jpg	The forewing of *didyma* is broad and short with an oblong oval shape. It has a pale brown color pattern with pale yellow veins. There is no color pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. The forewing membrane is densely covered with randomly distributed spinules, with broad spinule-free strips along all veins. The apical two-thirds of vein C+Sc is nearly straight, and the vein is convex at the base. There is no costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex along its entire length and weakly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are without setae.
fabianae	Forewing with yellow veins and semitransparent, yellowish to brown membrane, usually darker along outer margin. Forewing oviform; vein C+Sc strongly curved in the middle, pterostigma long, vein Rs straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; very sparse at base of cell c+sc; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/fabianae.jpg	The forewing of *fabianae* is broad and short, with an oblong oval shape. It is pale yellow with pale brown veins, moderately covered with spinules forming a pattern of transverse rows. The veins are pale yellow, with no color pigmentation along the apices of the pterostigma and veins Rs, M1+2, M3+4, Cu1a, and Cu1b. Spinule-free strips are narrow and present along all veins. The apical two-thirds of vein C+Sc is strongly convex, with no costal break between vein C+Sc and the pterostigma. The pterostigma cell is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is narrow and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex along its entire length, with its apex strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane and veins are covered with short, densely distributed setae.
globosa_male	Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different in males and females. Male forewing membrane with dark brown pattern consisting of confluent dots and patches, stretching from apical part of costal vein to the middle of cell cu1 forming transverse marginal band leaving light areas in cells r2, m1 and m2, continuing along vein Cu1a, stretching from apical part of vein Cu1b to median part of vein C+Sc; membrane between bands colourless, with brown dots varying in size and number scattered over entire surface. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, forming transverse rows, less developed on unpigmented areas; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/globosa_male.jpg	The forewing of *globosa_male* is broad and short with an oblong oval shape, featuring a pale brown color pattern. The forewing membrane is moderately covered with spinules forming two hexagonal rows, and broad spinule-free strips are present along all veins. The apical two-thirds of vein C+Sc is strongly convex, and there is no costal break between vein C+Sc and the pterostigma. The pterostigma is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and short. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the middle, and the apical margin is broadly and evenly rounded. The forewing membrane and veins are covered with short, densely distributed setae.
globosa_female	Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different in males and females. Female forewing membrane with pale to dark brown pattern consisting of distinct transverse band, leaving light areas in cells r1, r2, m1 and m2, frequently confluent dots, forming variable, usually lighter patches varying in size and number scattered over entire surface of the wing, and patch along vein Cu1b. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, forming transverse rows, less developed on unpigmented areas; radular spinules not pronounced.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/globosa_female.jpg	The forewing of *globosa_female* is broad and oblong oval, with a pale yellow membrane and pale brown veins. The forewing is short compared to its width-to-length ratio and is moderately covered with spinules forming a pattern of two hexagonal rows. Spinule-free strips are narrow and present along all veins. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma, which is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is narrow and long, while cell Cu1 is broad and long. The apex of vein Cu1a is strongly arced towards the posterior margin. The forewing is widest in the middle and has a broadly and evenly rounded apical margin. The forewing membrane and veins are bare, without setae.
intermedia	Forewing with yellow veins and amber-coloured membrane. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight or weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving very narrow spinule-free stripes along the veins, irregularly spaced; very sparse at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/intermedia.jpg	The forewing of *intermedia* is broad and long with an oblong oval shape, featuring a pale yellow color without any pattern. The forewing membrane is densely covered with spinules arranged in transverse rows, and narrow spinule-free strips are present along all veins. The veins, including Rs, M1+2, M3+4, Cu1a, and Cu1b, are pale yellow without pigmentation at the apices. The apical two-thirds of vein C+Sc is nearly straight, and there is no costal break between vein C+Sc and the pterostigma, which is absent. The forewing is widest in the middle and has a broadly and evenly rounded apical margin. The forewing membrane and veins are bare, without setae.
longicauda	Forewing with pale yellow to brownish veins and dirty yellowish membrane with pattern consisting of pale brown broad stripe parallel to apical margin stretching from apical part of costal vein to apex of Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and brown patch along vein Cu1b; sometimes with indistinct pale brown stripe in the middle of the wing stretching from vein R1 to vein Cu1b. Forewing oval, narrowly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs almost straight, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/longicauda.jpg	The forewing of *longicauda* is broad and relatively short with a high width-to-length ratio, and it is oblong oval in shape. The forewing is pale yellow with pale brown veins and distinct brown patches in the middle of the discal cell and at the base of the second subcostal, the first median, and the cubital sectors. The membrane is sparsely covered with spinules arranged in transverse rows, with narrow spinule-free strips along all veins. The apical two-thirds of vein C+Sc is nearly straight, and the vein is convex at the base. There is no costal break between vein C+Sc and the pterostigma, which is absent. Vein Rs is relatively straight and abruptly turns up to the wing margin apically. Cell M1 is broad and short, while cell Cu1 is broad and long. Vein Cu1a is strongly convex in the apical two-thirds and strongly arced towards the posterior margin. The forewing is widest in the middle, with a broadly and evenly rounded apical margin. The forewing membrane is covered with short, densely distributed setae, while the veins are bare.
