scientific_name	base_name	sec_type	question	answer	image_path
Russelliana caunda 	caunda	description		Forewing with pale yellow to brownish veins and semitransparent, yellowish membrane with distinct brown patch along vein Cu1b and brownish shadows in apical part of cells r1, r2, m1, m2 and cu1. Forewing oval, broadly, evenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules relatively dense, present in all cells, leaving narrow spinule-free stripes along the veins, forming indistinct hexagons in apical half; absent at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	caunda.jpg
Russelliana chilensis 	chilensis	description		Forewing with yellow to brown veins and yellowish membrane with variable brown pattern consisting of broad stripe parallel to apical margin stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and patches at bifurcation of veins R and M+Cu, in apical part of cell r2 and along vein Cu1b, sometimes forming stripe in the middle of wing stretching from apical part of cell r1 to vein Cu1b; sometimes with patches in cells c+sc and cu2. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs straight apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules relatively large, dense, present in all cells, leaving no spinule-free stripes along the veins, forming hexagonal pattern; absent at base of cell c+sc; radular spinules not pronounced.	chilensis.jpg
Russelliana chorizanthis 	chorizanthis	description		Forewing with whitish to pale yellow veins, gradually becoming brown towards apical part, and whitish membrane with indistinct pale brown patch along vein Cu1b, sometimes yellowish in apical part and slightly brownish at apices of veins Rs, M1+2, M3+4 and Cu1a. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very faint, present in all cells, leaving no spinule-free stripes along the veins, densely and irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	chorizanthis.jpg
Russelliana didyma 	didyma	description		Forewing with pale yellow veins and colourless to yellowish membrane with indistinct brown patch along vein Cu1b, sometimes with indistinct brownish shadows in apical part of cells r1, r2, m1, m2 and cu1 and at base of cell m2. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	didyma.jpg
Russelliana dimorpha male	dimorpha male	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern differring in males and females. Male forewing membrane with brown to dark brown pattern consisting of two broad transverse stripes: submarginal one stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin, and median one stretching from median part of vein C+Sc to apical part of claval suture; membrane between two bands colourless with sparse dark brown dots scattered over entire surface and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; male forewing with large, very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced on pigmented areas, weakly developed on unpigmented areas and absent in the middle of the wing.	dimorpha_male.jpg
Russelliana dimorpha female	dimorpha female	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern differring in males and females. Female forewing membrane with pale brown pattern consisting of dots occupying all cells, partly confluent in apical part and broad stripe parallel to apical margin stretching from apical part of costal vein to median part of cell cu1 leaving light areas in cells r2, m1, m2 and cu1 along the margin. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; female forewing with very dense surface spinules, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced, less developed on unpigmented areas; radular spinules not pronounced.	dimorpha_female.jpg
Russelliana diosteae 	diosteae	description		Forewing with yellow veins and colourless membrane with brown pattern, consisting of patch along vein Cu1b and two well-defined oblique stripes: submarginal one stretching from apical part of costal vein to base of vein Cu1a leaving light areas in cells r2, m1 and m2 along the margin, and median one stretching from apical part of cell r1 to median part of anal vein. Forewing oblong-oval, broadly, unevenly rounded apically; veins bearing short microscopical setae; vein C+Sc strongly, unevenly curved, pterostigma short, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules present in all cells, leaving no spinule-free stripes along the veins, densely spaced and forming irregular, indistinct hexagons in apical half, very sparse on unpigmented areas; absent at base of cell c+sc; radular spinules weakly pronounced.	diosteae.jpg
Russelliana disparilis 	disparilis	description		Forewing with brown veins and colourless membrane, fumose in the middle of cells in apical half and with indistinct brown patch along vein Cu1b; sometimes brownish in apical part of cell cu2. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	disparilis.jpg
Russelliana fabianae 	fabianae	description		Forewing with yellow veins and semitransparent, yellowish to brown membrane, usually darker along outer margin. Forewing oviform; vein C+Sc strongly curved in the middle, pterostigma long, vein Rs straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; very sparse at base of cell c+sc; radular spinules not pronounced.	fabianae.jpg
Russelliana globosa male	globosa male	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different in males and females. Male forewing membrane with dark brown pattern consisting of confluent dots and patches, stretching from apical part of costal vein to the middle of cell cu1 forming transverse marginal band leaving light areas in cells r2, m1 and m2, continuing along vein Cu1a, stretching from apical part of vein Cu1b to median part of vein C+Sc; membrane between bands colourless, with brown dots varying in size and number scattered over entire surface. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, forming transverse rows, less developed on unpigmented areas; radular spinules not pronounced.	globosa_male.jpg
Russelliana globosa female	globosa female	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different in males and females. Female forewing membrane with pale to dark brown pattern consisting of distinct transverse band, leaving light areas in cells r1, r2, m1 and m2, frequently confluent dots, forming variable, usually lighter patches varying in size and number scattered over entire surface of the wing, and patch along vein Cu1b. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, forming transverse rows, less developed on unpigmented areas; radular spinules not pronounced.	globosa_female.jpg
Russelliana intermedia 	intermedia	description		Forewing with yellow veins and amber-coloured membrane. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight or weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving very narrow spinule-free stripes along the veins, irregularly spaced; very sparse at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	intermedia.jpg
Russelliana longicauda 	longicauda	description		Forewing with pale yellow to brownish veins and dirty yellowish membrane with pattern consisting of pale brown broad stripe parallel to apical margin stretching from apical part of costal vein to apex of Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and brown patch along vein Cu1b; sometimes with indistinct pale brown stripe in the middle of the wing stretching from vein R1 to vein Cu1b. Forewing oval, narrowly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs almost straight, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	longicauda.jpg
Russelliana longirostro 	longirostro	description		Forewing with yellow to brown veins and semitransparent, colourless membrane with conspicuous pale brown pattern consisting of constant patch along vein Cu1b and dots scattered over entire surface, partly confluent in apical part, forming broad submarginal stripe stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin; sometimes with relatively distinct median broad stripe stretching from apical part of cell r1 to base of vein Cu1b. Forewing oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules faint, very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules weakly pronounced.	longirostro.jpg
Russelliana lycii male	lycii male	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different for males and females. Male forewing membrane with brown to dark brown pattern consisting of two broad transverse stripes: submarginal one stretching from apical part of costal vein to apex of vein Cu1a leaving light areas in cells r2, m1, m2 and cu1 along the margin, and median one stretching from bifurcation of veins R and M+Cu, along the veins M+Cu, Cu and Cu1b, to median part of cell cu1; membrane between two bands colourless, with scattered brown dots in cells and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules large, very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules not pronounced.	lycii_male.jpg
Russelliana lycii female	lycii female	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different for males and females. Female forewing membrane with pale brown pattern consisting of dots occupying all cells, partly confluent in apical part, and two broad transverse stripes as on male forewing membrane but distinctly paler. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs almost straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules large, very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules not pronounced.	lycii_female.jpg
Russelliana maculata 	maculata	description		Forewing with yellow to dark brown veins and colourless membrane with brown pattern consisting of large patches in the apex of cell r1 and r2 and along vein Cu1b, and dots varying in size and number mainly in apical two-thirds of the wing. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules weakly developed, leaving relatively broad spinule-free stripes along the veins, forming transverse rows or indistinct hexagons in apical half, very sparse in basal half; absent at base of cell c+sc; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	maculata.jpg
Russelliana magellanica 	magellanica	description		Forewing with yellow to brown veins and yellowish membrane with variable brown pattern consisting of broad stripe parallel to apical margin stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and patches at bifurcation of veins R and M+Cu, in apical part of cell r2 and along vein Cu1b, sometimes forming stripe in the middle of the wing stretching from apical part of cell r1 to vein Cu1b; sometimes with patches in cells c+sc and cu2. Forewing oviform; vein C+Sc weakly curved, pterostigma long, vein Rs straight apically; vein M shorter than either of veins M1+2 and M3+4; surface spinules relatively large, present in all cells, leaving no spinule-free stripes along the veins, densely spaced, forming hexagonal pattern in the middle of cells; absent at base of cell c+sc; radular spinules not pronounced.	magellanica.jpg
Russelliana marionae 	marionae	description		Forewing with whitish to dark brown veins and semitransparent, colourless membrane with dark brown pattern consisting of stripes and patches over entire surface, stretching from apical part of costal vein to median part of vein Cu1a, along vein Cu1a, and to base of vein M1+2, sometimes leaving light areas in cells m1 and m2 along the margin, interrupted patches from base of pterostigma to median part of vein M and in cell cu2, and patch along vein Cu1b; membrane between bands and patches colourless, with dots varying in size and number. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs weakly sinuous, curved to fore margin apically; vein M longer than either of veins M1+2 and M3+4; surface spinules bold, present in all cells, leaving narrow spinule-free stripes along the veins, sparsely and irregularly spaced, becoming sparser towards base, absent or very sparse on unpigmented areas; absent in cell c+sc; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	marionae.jpg
Russelliana melaina 	melaina	description		Forewing with pale yellow veins and semitransparent, unevenly amber-coloured membrane; sometimes with indistinct pale brown patch along vein Cu1b. Forewing oviform; vein C+Sc strongly, evenly curved, pterostigma long, vein Rs weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving broad spinule-free stripes along the veins, sparsely spaced and forming transverse rows; very sparse at base of cell c+sc; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	melaina.jpg
Russelliana mendozae 	mendozae	description		Forewing with yellow to brown veins and dirty yellowish membrane with indistinct to distinct brown pattern consisting of patch along vein Cu1b and scattered dots in apical third of the wing, often distinctly confluent along the veins along the margin; often with patches in cells c+sc and cu2. Forewing oblong-oval, narrowly rounded apically; vein C+Sc hardly curved, pterostigma long, vein Rs weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	mendozae.jpg
Russelliana monticola 	monticola	description		Forewing with yellow to brown veins and dirty yellowish membrane with indistinct to distinct brown pattern consisting of patch along vein Cu1b and scattered dots in apical three quarters of the wing; sometimes with pale patches in cells c+sc and cu2. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	monticola.jpg
Russelliana nana 	nana	description		Forewing with bright yellow veins and pale yellow membrane. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M shorter than either of veins M1+2 and M3+4; surface spinules faint, present in all cells, leaving no spinule-free stripes along the veins, densely and irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	nana.jpg
Russelliana nigra	nigra	description		Forewing with dark brown veins and evenly brown membrane. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, slightly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving very narrow spinule-free stripes along the veins, irregularly spaced; faint in cell c+sc and absent in its basal third; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1. 	nigra.jpg
Russelliana nolanae male	nolanae male	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different for males and females. Male forewing membrane with dark brown pattern consisting of confluent dots, sometimes forming two well-defined broad transverse stripes: shorter submarginal one stretching from apical part of costal vein to base of vein M1+2 and longer median one stretching from median part of vein C+Sc, along the veins M+Cu and Cu, to base of vein Cu1b; membrane between two bands colourless with dark brown dots scattered over entire surface and sometimes on veins. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced, less developed on unpigmented areas; radular spinules not pronounced.	nolanae_male.jpg
Russelliana nolanae female	nolanae female	description		Forewing with whitish to dark brown veins and membrane with distinct pale to dark brown pattern different for males and females. Female forewing membrane with pale brown pattern consisting of dark, frequently confluent dots and lighter patches scattered over entire surface, sometimes patches leaving light, almost indistinct areas in cells r2, m1 and m2along the margin; patch along vein Cu1b sometimes reaching vein M. Forewing rhomboidal; vein C+Sc strongly, unevenly curved, pterostigma long, vein Rs straight, strongly curved to fore margin apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced, less developed on unpigmented areas; radular spinules not pronounced.	nolanae_female.jpg
Russelliana pallida 	pallida	description		Forewing with yellowish veins and colourless membrane with pale brown, often indistinct pattern consisting of broad stripe parallel to apical margin stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin, and patch along vein Cu1b; sometimes with brown stripe in the middle of the wing stretching from vein R1 to vein Cu1b and brown patch in apical half of cell cu2. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules present in all cells, leaving narrow spinule-free stripes along the veins, sparsely spaced and forming hexagonal pattern; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	pallida.jpg
Russelliana punctulata 	punctulata	description		Forewing with dark brown veins and colourless membrane, sometimes consisting of indistinct brown pattern of one large patch in the apex of cell r1 and r2 and one small along vein Cu1b; sometimes with few dots in apical two-thirds of the wing. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M shorter than either of veins M1+2 and M3+4; surface spinules faint, present in all cells, leaving narrow spinule-free stripes along the veins, sparsely spaced and forming irregular transverse rows mainly in apical part; absent in basal third of cell c+sc; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	punctulata.jpg
Russelliana queirozae 	queirozae	description		Forewing with whitish to pale yellow veins and pale yellow membrane, sometimes yellow in the middle of cells in its apical part. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M longer than either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins; radular spinules not pronounced.	queirozae.jpg
Russelliana rutila 	rutila	description		Forewing with pale yellow to brownish veins and yellow to brownish membrane, both becoming slightly darker apically. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs straight or weakly sinuous, almost straight apically; vein M slightly shorter than either of veins M1+2 and M3+4; surface spinules faint, dense, present in all cells, leaving no spinule-free stripes along the veins, forming indistinct hexagons in apical half; radular spinules covering indistinct areas along the margin of cells r2, m1, m2 and cu1.	rutila.jpg
Russelliana sebastiani 	sebastiani	description		Forewing with white to dark brown veins and yellowish fore margin gradually turning white in the middle of wing where the dark brown pattern starts; the dark pattern is interrupted by white median transverse stripe stretching from median part of vein Rs to bifurcation of vein Cu, and by light areas in cells r2, m1, m2 and cu1 along the margin. Forewing oblong-oval, narrowly, unevenly rounded apically; vein C+Sc strongly, unevenly curved, pterostigma short, vein Rs weakly sinuous, almost straight apically; vein M shorter than either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, forming hexagonal pattern, absent in upper part of cell r1 and along the fore margin of cell c+sc, less developed on unpigmented areas; radular spinules weakly pronounced.	sebastiani.jpg
Russelliana setosa 	setosa	description		Forewing with bright yellow to brown veins and semitransparent, yellowish membrane with brown pattern consisting of large patch along vein Cu1b and scattered dots varying in size and number, mainly in apical two thirds of the wing. Forewing oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	setosa.jpg
Russelliana similis 	similis	description		Forewing with brown veins and colourless membrane, sometimes fumose in the middle of cells in apical half; sometimes with distinct brown patch along vein Cu1b. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M slightly shorter than either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	similis.jpg
Russelliana solanicola 	solanicola	description		Forewing with pale to dark brown veins, becoming darker towards apex, and colourless to greyish membrane with indistinct brown patches along the veins Cu and Cu1b, at apices of veins R1, Rs, M1+2, M3+4, Cu1a and often between bifurcation of vein M and apical part of cell r1. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	solanicola.jpg
Russelliana tetraglochin 	tetraglochin	description		Forewing membrane with pale yellow to brownish veins and yellow to brownish membrane, both becoming slightly darker towards apical part. Forewing oblong-oval, narrowly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules absent; radular spinules covering triangular areas along the margin of cells r2, m1, m2 and cu1.	tetraglochin.jpg
Russelliana theresae 	theresae	description		Forewing with whitish to dark brown veins and semitransparent, colourless membrane with dark brown pattern, similar to R. marionae, consisting of two broad stripes: submarginal one stretching from apical part of costal vein to median part of vein Cu1a, along vein Cu1a and to base of vein M1+2, sometimes leaving light areas in cells m1 and m2 along the margin, and median one stretching from base of pterostigma, along the veins R, M+Cu and Cu, to base of vein Cu1b; membrane between stripes colourless, with dots varying in size and number. Forewing oblong-oval, broadly, evenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs weakly sinuous, curved to fore margin apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules very dense, present in all cells, leaving no spinule-free stripes along the veins, irregularly spaced, less developed on unpigmented areas; radular spinules not pronounced.	theresae.jpg
Russelliana vinculipennis 	vinculipennis	description		Forewing with brown veins and colourless membrane consisting of dark brown pattern of patch along vein Cu1b and scattered dots covering most of the membrane, sometimes forming distinct transverse band stretching from apical part of costal vein to apex of vein Cu1a, leaving light areas in cells r2, m1 and m2 along the margin. Forewing oblong-oval, broadly, unevenly rounded apically; vein C+Sc weakly curved, pterostigma long, vein Rs almost straight apically; vein M about as long as either of veins M1+2 and M3+4; surface spinules present in all cells, leaving no spinule-free stripes along the veins, densely and irregularly spaced, less developed on unpigmented areas; absent in cell c+sc except for a group of spinules in the middle, sometimes covering entire cell; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	vinculipennis.jpg
Russelliana viscosae 	viscosae	description		Forewing with yellow veins and semitransparent, evenly yellow membrane. Forewing oviform; vein C+Sc strongly curved in the middle, pterostigma long, vein Rs straight apically; vein M slightly longer than either of veins M1+2 and M3+4; surface spinules absent; densely and irregularly spaced in cell c+sc except for base and apex; radular spinules covering rounded areas along the margin of cells r2, m1, m2 and cu1.	/home/localuser/psilidae/Russelliana_forewing_croped_JPEG/viscosae.jpg
